timestamp,method,path,userId,userRole,statusCode,responseTime,clientIP,userAgent,error,analysisId,requestSize,responseSize
"2025-06-22T19:36:34.530Z","GET","/api/analysis/e3723002-f174-4e88-a450-067011653ea6/status","","",200,24,"::ffff:127.0.0.1","axios/1.7.9","","e3723002-f174-4e88-a450-067011653ea6",460,108
"2025-06-22T19:36:34.650Z","GET","/analysis/e3723002-f174-4e88-a450-067011653ea6/status","ef0a1bce-eb06-49fb-889f-287f01028452","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","e3723002-f174-4e88-a450-067011653ea6",460,0
"2025-06-22T19:36:34.662Z","GET","/api/analysis/e3723002-f174-4e88-a450-067011653ea6/status","","",200,14,"::ffff:127.0.0.1","axios/1.7.9","","e3723002-f174-4e88-a450-067011653ea6",460,108
"2025-06-22T20:44:23.036Z","POST","/api/auth/register","","",201,132,"::ffff:127.0.0.1","axios/1.7.9","","",513,326
"2025-06-22T20:44:23.162Z","POST","/api/auth/login","","",200,66,"::ffff:127.0.0.1","axios/1.7.9","","",510,326
"2025-06-22T20:44:30.482Z","POST","/analysis","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",202,3241,"::ffff:127.0.0.1","axios/1.7.9","","e83e2f62-ae27-4953-890b-c4df8e29789c",2140,0
"2025-06-22T20:44:30.494Z","POST","/api/analysis","","",202,3256,"::ffff:127.0.0.1","axios/1.7.9","","",2140,135
"2025-06-22T20:44:30.582Z","GET","/analysis/e83e2f62-ae27-4953-890b-c4df8e29789c/status","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","e83e2f62-ae27-4953-890b-c4df8e29789c",460,0
"2025-06-22T20:44:30.586Z","GET","/api/analysis/e83e2f62-ae27-4953-890b-c4df8e29789c/status","","",200,7,"::ffff:127.0.0.1","axios/1.7.9","","e83e2f62-ae27-4953-890b-c4df8e29789c",460,108
"2025-06-22T20:44:30.694Z","GET","/analysis/e83e2f62-ae27-4953-890b-c4df8e29789c/status","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","e83e2f62-ae27-4953-890b-c4df8e29789c",460,0
"2025-06-22T20:44:30.697Z","GET","/api/analysis/e83e2f62-ae27-4953-890b-c4df8e29789c/status","","",200,4,"::ffff:127.0.0.1","axios/1.7.9","","e83e2f62-ae27-4953-890b-c4df8e29789c",460,108
"2025-06-22T20:48:52.797Z","POST","/analysis","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",202,1021,"::ffff:127.0.0.1","axios/1.7.9","","9b89ff7d-7cab-4b45-9660-e563dc91edaf",2140,0
"2025-06-22T20:48:52.839Z","POST","/api/analysis","","",202,1076,"::ffff:127.0.0.1","axios/1.7.9","","",2140,135
"2025-06-22T20:48:53.024Z","GET","/analysis/9b89ff7d-7cab-4b45-9660-e563dc91edaf/status","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","9b89ff7d-7cab-4b45-9660-e563dc91edaf",460,0
"2025-06-22T20:48:53.056Z","GET","/api/analysis/9b89ff7d-7cab-4b45-9660-e563dc91edaf/status","","",200,34,"::ffff:127.0.0.1","axios/1.7.9","","9b89ff7d-7cab-4b45-9660-e563dc91edaf",460,108
"2025-06-22T20:48:53.189Z","GET","/analysis/9b89ff7d-7cab-4b45-9660-e563dc91edaf/status","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","9b89ff7d-7cab-4b45-9660-e563dc91edaf",460,0
"2025-06-22T20:48:53.199Z","GET","/api/analysis/9b89ff7d-7cab-4b45-9660-e563dc91edaf/status","","",200,22,"::ffff:127.0.0.1","axios/1.7.9","","9b89ff7d-7cab-4b45-9660-e563dc91edaf",460,108
"2025-06-22T20:49:23.561Z","POST","/analysis","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",202,627,"::ffff:127.0.0.1","axios/1.7.9","","6bbd6456-14c1-48c7-bef8-77897f0d9bb7",2140,0
"2025-06-22T20:49:23.566Z","POST","/api/analysis","","",202,644,"::ffff:127.0.0.1","axios/1.7.9","","",2140,135
"2025-06-22T20:49:23.605Z","GET","/analysis/6bbd6456-14c1-48c7-bef8-77897f0d9bb7/status","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","6bbd6456-14c1-48c7-bef8-77897f0d9bb7",460,0
"2025-06-22T20:49:23.607Z","GET","/api/analysis/6bbd6456-14c1-48c7-bef8-77897f0d9bb7/status","","",200,8,"::ffff:127.0.0.1","axios/1.7.9","","6bbd6456-14c1-48c7-bef8-77897f0d9bb7",460,107
"2025-06-22T20:49:23.664Z","GET","/analysis/6bbd6456-14c1-48c7-bef8-77897f0d9bb7/status","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","6bbd6456-14c1-48c7-bef8-77897f0d9bb7",460,0
"2025-06-22T20:49:23.666Z","GET","/api/analysis/6bbd6456-14c1-48c7-bef8-77897f0d9bb7/status","","",200,4,"::ffff:127.0.0.1","axios/1.7.9","","6bbd6456-14c1-48c7-bef8-77897f0d9bb7",460,107
"2025-06-22T20:50:52.687Z","POST","/analysis","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",500,1723,"::ffff:127.0.0.1","axios/1.7.9","Unknown error","",2428,0
"2025-06-22T20:50:52.706Z","POST","/api/analysis","","",500,1744,"::ffff:127.0.0.1","axios/1.7.9","","",2428,72
"2025-06-22T20:53:03.470Z","POST","/analysis","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",202,744,"::ffff:127.0.0.1","axios/1.7.9","","deed6a6a-6bce-4068-9c46-3016fbed518c",2140,0
"2025-06-22T20:53:03.479Z","POST","/api/analysis","","",202,755,"::ffff:127.0.0.1","axios/1.7.9","","",2140,135
"2025-06-22T20:53:03.524Z","GET","/analysis/deed6a6a-6bce-4068-9c46-3016fbed518c/status","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","deed6a6a-6bce-4068-9c46-3016fbed518c",460,0
"2025-06-22T20:53:03.535Z","GET","/api/analysis/deed6a6a-6bce-4068-9c46-3016fbed518c/status","","",200,17,"::ffff:127.0.0.1","axios/1.7.9","","deed6a6a-6bce-4068-9c46-3016fbed518c",460,107
"2025-06-22T20:53:03.589Z","GET","/analysis/deed6a6a-6bce-4068-9c46-3016fbed518c/status","8b7c70da-ea47-418d-8714-e9e4415267cc","admin",200,1,"::ffff:127.0.0.1","axios/1.7.9","","deed6a6a-6bce-4068-9c46-3016fbed518c",460,0
"2025-06-22T20:53:03.590Z","GET","/api/analysis/deed6a6a-6bce-4068-9c46-3016fbed518c/status","","",200,3,"::ffff:127.0.0.1","axios/1.7.9","","deed6a6a-6bce-4068-9c46-3016fbed518c",460,107
